Dataset, Balancing, Feature Selection, Training Release, Classifier, Training% of total, Positive% in training, Positive% in testing, TP, FP, TN, FN, Precision, Recall, AUC, kappa
BOOKKEEPER, SMOTE, BestFirst, 3, RandomForest, 56.58567774936062, 59.887005649717516, 56.553755522827686, 272.0, 114.0, 270.0, 23.0, 0.7046632124352331, 0.9220338983050848, 0.9279131355932203, 0.6035822193054604
BOOKKEEPER, SMOTE, BestFirst, 3, IBk, 56.58567774936062, 59.887005649717516, 56.553755522827686, 244.0, 25.0, 359.0, 51.0, 0.9070631970260223, 0.8271186440677966, 0.8714645127118644, 0.7698777235714348
BOOKKEEPER, UnderSampling, BestFirst, 4, NaiveBayes, 69.72804279982167, 58.43989769820972, 56.70103092783505, 290.0, 206.0, 179.0, 4.0, 0.5846774193548387, 0.9863945578231292, 0.9825293753865182, 0.41743407881942457
BOOKKEEPER, UnderSampling, BestFirst, 4, RandomForest, 69.72804279982167, 58.43989769820972, 56.70103092783505, 281.0, 24.0, 361.0, 13.0, 0.921311475409836, 0.95578231292517, 0.9948670377241806, 0.8895114367515315
BOOKKEEPER, UnderSampling, BestFirst, 4, IBk, 69.72804279982167, 58.43989769820972, 56.70103092783505, 286.0, 14.0, 371.0, 8.0, 0.9533333333333334, 0.9727891156462585, 0.9886253202579733, 0.9341723733728176
BOOKKEEPER, OverSampling, BestFirst, 4, NaiveBayes, 69.72804279982167, 58.43989769820972, 56.70103092783505, 288.0, 175.0, 210.0, 6.0, 0.6220302375809935, 0.9795918367346939, 0.9720204965102924, 0.4916466398355386
BOOKKEEPER, OverSampling, BestFirst, 4, RandomForest, 69.72804279982167, 58.43989769820972, 56.70103092783505, 282.0, 25.0, 360.0, 12.0, 0.9185667752442996, 0.9591836734693877, 0.9858423889036134, 0.8895998031314405
BOOKKEEPER, OverSampling, BestFirst, 4, IBk, 69.72804279982167, 58.43989769820972, 56.70103092783505, 274.0, 18.0, 367.0, 20.0, 0.9383561643835616, 0.9319727891156463, 0.9667064228288718, 0.8859317942687379
BOOKKEEPER, SMOTE, BestFirst, 4, NaiveBayes, 69.72804279982167, 58.43989769820972, 56.70103092783505, 289.0, 212.0, 173.0, 5.0, 0.5768463073852296, 0.9829931972789115, 0.9849368318756074, 0.3991321971967686
BOOKKEEPER, SMOTE, BestFirst, 4, RandomForest, 69.72804279982167, 58.43989769820972, 56.70103092783505, 281.0, 1.0, 384.0, 13.0, 0.9964539007092199, 0.95578231292517, 0.9996996201077833, 0.9578051205567983
BOOKKEEPER, SMOTE, BestFirst, 4, IBk, 69.72804279982167, 58.43989769820972, 56.70103092783505, 284.0, 1.0, 384.0, 10.0, 0.9964912280701754, 0.9659863945578231, 0.9993639014047178, 0.9668870061757129
BOOKKEEPER, UnderSampling, BestFirst, 5, NaiveBayes, 72.68308489954633, 57.91350869371378, 47.21233689205219, 440.0, 211.0, 187.0, 5.0, 0.6758832565284179, 0.9887640449438202, 0.9866975326068544, 0.47150096651167656
BOOKKEEPER, UnderSampling, BestFirst, 5, RandomForest, 72.68308489954633, 57.91350869371378, 47.21233689205219, 441.0, 16.0, 382.0, 4.0, 0.9649890590809628, 0.9910112359550561, 0.9959573146632037, 0.9523265546180468
BOOKKEEPER, UnderSampling, BestFirst, 5, IBk, 72.68308489954633, 57.91350869371378, 47.21233689205219, 445.0, 9.0, 389.0, 0.0, 0.9801762114537445, 1.0, 0.9890745864152222, 0.9785554993400171
