Version, File, size, LOC_touched, LOC_added, MAX_LOC_Added, AVG_LOC_Added
1, hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java, 78, 86, 82, 41, 4
1, bookkeeper/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java, 0, 326, 163, 82, 163
1, hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java, 43, 43, 43, 43, 43
1, hedwig-client/src/main/cpp/test/pubsubtest.cpp, 609, 747, 678, 136, 48
1, bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java, 244, 436, 340, 68, 18
1, bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java, 0, 1440, 720, 360, 720
1, hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java, 76, 80, 78, 39, 2
1, hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java, 231, 243, 237, 59, 3
1, hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java, 29, 31, 30, 15, 1
1, hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java, 37, 43, 40, 20, 3
1, bookkeeper/src/main/java/org/apache/bookkeeper/client/DigestManager.java, 0, 368, 184, 92, 184
1, hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java, 98, 100, 99, 50, 1
1, bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java, 0, 150, 75, 38, 75
1, hedwig-client/src/main/cpp/lib/subscriberimpl.h, 173, 175, 174, 58, 6
1, hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java, 45, 45, 45, 45, 45
1, bookkeeper/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java, 0, 134, 67, 34, 67
1, hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigRegion.java, 93, 109, 101, 34, 3
1, hedwig-server/src/test/java/org/apache/hedwig/client/TestPubSubClient.java, 230, 270, 250, 83, 13
1, bookkeeper/src/main/java/org/apache/bookkeeper/proto/ServerStats.java, 0, 296, 148, 74, 148
1, hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java, 227, 331, 279, 93, 2
1, doc/bookkeeperStarted.textile, 100, 124, 112, 37, 6
1, bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieServer.java, 0, 418, 209, 105, 209
1, hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java, 96, 108, 102, 34, 2
1, hedwig-client/src/main/cpp/config.h.in, 0, 112, 56, 28, 56
1, hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java, 60, 62, 61, 31, 1
1, NOTICE.txt, 6, 8, 7, 4, 2
1, bookkeeper/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java, 0, 252, 126, 63, 126
1, bookkeeper/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java, 0, 248, 124, 62, 124
1, hedwig-client/src/main/cpp/test/publishtest.cpp, 249, 339, 294, 147, 45
1, hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java, 74, 82, 78, 39, 4
